client_id,order_id,item_name,item_quantity,item_price
1010,1,Огурчики маринованные,1,100
1010,1,Чипсеки,4,99.99
1020,2,Сырок со сгущенкой,20,33
1022,3,Шоколадка,2,100
1010,4,Огурчики маринованные,1,100
1023,5,Макароны,3,20
1022,6,Дошик,10,22.5
1022,6,Майонез,2,50
1034,7,Огурчики маринованные,2,100
1067,8,Сырок со сгущенкой,10,33
1023,9,Чипсеки,1,99.99
1010,10,Дошик,1,22.5
1019,11,Сыр,100,18.2
1022,12,Хлеб,1,12
1022,13,Хот-дог,3,67
1010,14,Макароны,2,20
1023,15,Чай,1,100
1022,16,Огурчики маринованные,4,100
1022,17,Чипсеки,12,99.99
1034,18,Сырок со сгущенкой,2,33
1067,19,Шоколадка,5,100
1023,20,Огурчики маринованные,1,100
1010,21,Макароны,2,20
1010,22,Дошик,7,22.5
1020,23,Майонез,1,50
1022,24,Чай,8,100
1010,25,Сырок со сгущенкой,11,33
1023,26,Чипсеки,1,99.99
1022,27,Дошик,3,22.5
1022,28,Сыр,123,18.2
1034,29,Хлеб,1,12
1067,30,Хот-дог,3,67
1023,37,Макароны,2,20
1010,32,Чай,1,100
1010,33,Огурчики маринованные,1,100
1020,34,Чипсеки,4,99.99
1022,35,Сырок со сгущенкой,3,33
1010,36,Шоколадка,8,100
1023,37,Огурчики маринованные,1,100
1022,38,Макароны,6,20
1022,39,Дошик,666,22.5
1034,40,Майонез,1,50
1067,41,Огурчики маринованные,10,100
1023,42,Сырок со сгущенкой,9,33
1010,43,Чипсеки,31,99.99
1010,44,Дошик,1,22.5
1020,45,Сыр,478,18.2
1022,46,Хлеб,2,12
1010,47,Хот-дог,1,67
1023,48,Макароны,1,20
1022,49,Чай,5,100
1022,50,Хлеб,2,12
1034,51,Хлеб,15,12
1067,41,Дошик,6,22.5
1023,37,Шоколадка,15,100